loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,color1,color2,color3,color4,color5,color6,color7,color8,color9,trial_type,set_size,correct,testcolor
"[-.3, 0]","[.3, -.3]","[.15, -.15]","[.3, .15]","[.15, -.3]","[-.15, -.15]","[.3, -.15]","[.3, 0]",white,cyan,grey,grey,grey,grey,grey,grey,orange,no-change,2,f,white
"[.3, -.3]","[-.3, .15]","[.15, -.15]","[-.15, 0]","[.3, .3]","[.3, .15]","[.3, 0]","[.15, -.3]",black,cyan,blue,green,violet,white,orange,yellow,red,no-change,8,f,black
"[.15, .15]","[-.15, .15]","[.3, 0]","[.15, -.15]","[.15, -.3]","[-.15, .3]","[.3, .3]","[-.15, -.15]",white,orange,red,violet,cyan,yellow,grey,grey,green,change,6,j,green
"[.3, -.15]","[-.15, 0]","[.15, -.15]","[.3, 0]","[-.15, .15]","[.15, 0]","[.15, .15]","[.15, .3]",red,violet,grey,grey,grey,grey,grey,grey,orange,change,2,j,orange
"[.15, .15]","[.3, -.3]","[-.15, -.3]","[-.3, -.15]","[.3, .3]","[.15, -.3]","[.15, -.15]","[.15, 0]",yellow,white,cyan,orange,green,violet,blue,black,red,no-change,8,f,yellow
"[-.15, .3]","[.15, -.15]","[.15, 0]","[-.3, -.15]","[-.15, -.3]","[-.15, .15]","[-.3, .15]","[-.3, .3]",orange,cyan,black,blue,grey,grey,grey,grey,white,no-change,4,f,orange
"[.3, 0]","[.15, -.15]","[-.15, .3]","[-.3, .3]","[-.3, .15]","[-.3, 0]","[.3, -.15]","[.15, .15]",yellow,blue,grey,grey,grey,grey,grey,grey,black,change,2,j,black
"[-.15, -.15]","[.15, .15]","[-.3, .15]","[-.15, .3]","[.3, 0]","[-.15, .15]","[.3, -.15]","[.15, .3]",green,blue,cyan,black,red,orange,grey,grey,violet,change,6,j,violet
"[.3, .15]","[.3, -.15]","[-.3, -.3]","[.3, -.3]","[-.3, 0]","[-.15, .3]","[-.3, -.15]","[.15, 0]",yellow,green,violet,black,grey,grey,grey,grey,blue,no-change,4,f,yellow
"[-.15, .3]","[-.15, .15]","[.3, -.15]","[-.3, 0]","[-.3, .15]","[.15, .3]","[-.15, -.15]","[.15, 0]",cyan,yellow,green,white,violet,red,black,orange,blue,no-change,8,f,cyan
"[.15, -.3]","[-.15, -.3]","[.3, .15]","[-.3, .3]","[.15, -.15]","[-.15, 0]","[-.3, -.3]","[-.15, -.15]",red,yellow,blue,white,grey,grey,grey,grey,green,change,4,j,green
"[-.15, -.3]","[-.3, .3]","[.15, 0]","[.3, .3]","[-.15, 0]","[-.3, 0]","[-.3, -.15]","[.3, 0]",red,white,orange,blue,grey,grey,grey,grey,yellow,no-change,4,f,red
"[.15, -.15]","[.3, -.15]","[.15, .3]","[-.3, -.15]","[.15, -.3]","[.15, 0]","[-.15, .15]","[.15, .15]",white,green,grey,grey,grey,grey,grey,grey,yellow,no-change,2,f,white
"[.3, -.3]","[.15, .15]","[.15, -.3]","[.15, .3]","[-.3, -.3]","[.15, -.15]","[-.15, .3]","[-.15, -.3]",yellow,violet,black,cyan,blue,orange,red,white,green,no-change,8,f,yellow
"[-.3, .3]","[.3, 0]","[.15, -.3]","[-.15, 0]","[.3, -.3]","[-.3, -.3]","[.15, 0]","[.15, -.15]",violet,white,red,green,grey,grey,grey,grey,cyan,change,4,j,cyan
"[-.3, -.3]","[-.3, 0]","[-.3, -.15]","[-.3, .15]","[.15, .3]","[-.15, .15]","[.3, -.15]","[-.15, .3]",cyan,violet,blue,green,yellow,orange,black,white,red,change,8,j,red
"[.15, 0]","[-.3, .3]","[-.15, .15]","[.3, .3]","[-.15, .3]","[-.3, .15]","[.15, -.3]","[-.3, 0]",cyan,white,violet,red,grey,grey,grey,grey,yellow,no-change,4,f,cyan
"[-.15, 0]","[-.3, .15]","[.3, 0]","[.15, .3]","[-.3, -.15]","[.3, -.15]","[-.15, .15]","[-.15, -.15]",red,blue,white,orange,cyan,yellow,black,violet,green,no-change,8,f,red
"[-.15, -.3]","[.3, -.15]","[.3, -.3]","[-.15, .15]","[.3, 0]","[-.3, 0]","[.3, .15]","[-.15, 0]",orange,cyan,grey,grey,grey,grey,grey,grey,violet,no-change,2,f,orange
"[-.3, -.3]","[.3, 0]","[-.15, -.15]","[-.3, .3]","[.15, 0]","[-.15, -.3]","[.3, .3]","[-.15, .15]",blue,black,white,orange,grey,grey,grey,grey,violet,change,4,j,violet
"[-.3, -.15]","[-.15, 0]","[-.3, -.3]","[.3, -.3]","[-.15, .15]","[.3, -.15]","[-.15, -.3]","[-.3, .15]",green,blue,orange,cyan,white,black,grey,grey,yellow,no-change,6,f,green
"[-.3, -.15]","[.3, 0]","[-.15, -.3]","[-.3, -.3]","[-.3, 0]","[-.15, 0]","[.3, -.15]","[-.15, .15]",black,red,yellow,white,orange,green,violet,blue,cyan,change,8,j,cyan
"[.15, .15]","[-.15, .3]","[.15, -.15]","[-.15, .15]","[.3, .15]","[-.3, .15]","[.15, -.3]","[-.3, -.15]",black,violet,orange,green,yellow,cyan,red,white,blue,change,8,j,blue
"[-.3, .3]","[-.15, .3]","[-.15, .15]","[.3, -.3]","[.15, 0]","[-.3, -.3]","[-.3, -.15]","[.3, .15]",orange,cyan,yellow,black,green,white,blue,violet,red,change,8,j,red
"[-.15, -.15]","[.15, .3]","[-.3, -.15]","[.3, -.15]","[.3, -.3]","[-.3, .15]","[-.15, -.3]","[.3, .3]",violet,blue,white,yellow,grey,grey,grey,grey,red,no-change,4,f,violet
"[.3, .15]","[.15, 0]","[-.3, .3]","[.15, -.15]","[-.15, -.3]","[-.3, -.15]","[-.15, 0]","[.15, .15]",red,cyan,grey,grey,grey,grey,grey,grey,blue,no-change,2,f,red
"[-.3, .3]","[-.3, -.3]","[.15, -.3]","[.3, -.15]","[-.15, .3]","[.3, .15]","[.3, 0]","[-.15, 0]",yellow,orange,green,violet,black,red,grey,grey,cyan,no-change,6,f,yellow
